solution_id,sensor,algorithm,data_rate_Hz,geometric_LOD,condition_LOD,detection_threshold,storage,communication,deployment,crew_size,inspection_cycle_days,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,detection_recall,system_MTBF_hours,system_MTBF_years,annual_cost_USD,cost_per_km_year,carbon_footprint_tons_CO2_year,is_feasible,sensor_type,algo_type,storage_type,comm_type,deploy_type,raw_data_gb_per_year,sent_data_gb_per_year,data_reduction_ratio,lod_data_multiplier,rate_data_multiplier,comm_bandwidth_GBps,comm_time_seconds,compute_seconds_per_GB,deployment_compute_factor,compute_time_seconds,base_algo_recall,sensor_precision,lod_bonus,sigmoid_z,tau,tau0,cost_rank,recall_rank,carbon_rank,reliability_rank,latency_rank,disruption_rank
21,Camera_FLIR_A700,Traditional_Canny_Optimized,10.001235868578735,Macro,Micro,0.7779642694302108,Storage_PostgreSQL_PostGIS,Communication_5G_SmallCell,Deployment_Jetson_OrinNano,1,91,310426.14129051747,0.12875232110623547,66.95597427160783,4.55696325819812,209.63153678578433,0.0002765390931667067,0.8712476788937645,3616.1252593576987,0.4127996871412898,31042.614129051748,155.21307064525874,0.20963153678578433,True,Camera,Traditional,Hot,5G,default,64.18375546428551,44.928628824999855,0.7,0.5,0.2000247173715747,0.125,89.61107338246546,0.5,1.5,8.401038129606137,0.68,0.7,-0.4,1.912035730569789,0.7779642694302108,0.5,1.0,28.0,25.0,30.0,14.0,17.0
26,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,93.84080103985102,Micro,Micro,0.10881359746571642,Storage_AWS_S3_Glacier,Communication_5G_SmallCell,Deployment_Cloud_GPU_A4000,1,91,443176.3345102988,0.021872916801562337,128.42330713159987,4.882460633783702,227.8443170579289,0.0002640390931667067,0.9781270831984377,3787.317961165049,0.43234223300970875,44317.63345102988,221.5881672551494,0.2278443170579289,True,Camera,Traditional,Archive,5G,Cloud,2710.03983662339,2710.03983662339,1.0,1.8,1.8768160207970204,0.125,5405.230139895419,0.5,1.0,337.82688374346367,0.68,0.7,0.6,3.8003904077335386,0.10881359746571642,0.5,2.0,7.0,29.0,28.0,26.0,22.0
27,Camera_Basler_ace2Pro,DL_YOLOv8_SOTA,10.033000698045006,Macro,Micro,0.10964510626236655,Storage_AWS_S3_Glacier,Communication_V2X_RSU,Deployment_Jetson_OrinNano,6,91,639095.8082209746,0.03075827742989745,174.27748126672813,12.694397647837624,179.53822141395057,0.00026014236504503266,0.9692417225701025,3844.04900688472,0.43881837978136073,63909.580822097465,319.5479041104873,0.17953822141395057,True,Camera,DL,Archive,V2X,default,80.48451109420719,56.33915776594503,0.7,0.5,0.20066001396090014,0.00125,11236.960781810407,8.0,1.5,168.5544117271561,0.97,0.7,-0.4,2.6503548937376333,0.10964510626236655,0.5,3.0,19.0,15.0,27.0,29.0,30.0
3,Camera_FLIR_A700,Traditional_Canny_Optimized,10.000168839140061,Macro,Micro,0.8246459354062295,Storage_Hybrid_Tiered,Communication_V2X_RSU,Deployment_Jetson_OrinNano,1,91,662750.8069554508,0.13408021179614094,151.89751692846974,4.55696325819812,207.55169816447474,0.00017577885924857807,0.8659197882038591,5688.966262921571,0.6494253724796314,66275.08069554508,331.3754034777254,0.20755169816447475,True,Camera,Traditional,Hybrid,V2X,default,64.17690771492083,44.92383540044458,0.7,0.5,0.20000337678280122,0.00125,8960.151279869493,0.5,1.5,8.40014182487765,0.68,0.7,-0.4,1.8653540645937703,0.8246459354062295,0.5,4.0,29.0,23.0,17.5,27.0,17.0
4,Camera_FLIR_A700,Traditional_Canny_Optimized,99.51717591734163,Micro,Micro,0.10267633847088026,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_OrinNano,1,91,730484.110216978,0.021146459440955057,101.44843708144515,4.55696325819812,319.8661040196657,0.00017577885924857807,0.9788535405590449,5688.966262921571,0.6494253724796314,73048.4110216978,365.242055108489,0.31986610401966575,True,Camera,Traditional,Hybrid,5G,default,2299.1748422925166,1609.4223896047615,0.7,1.8,1.9903435183468325,0.125,3210.026026389771,0.5,1.5,300.939939974041,0.68,0.7,0.6,3.834909541115828,0.10267633847088026,0.5,5.0,5.0,31.0,17.5,22.0,17.0
8,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.001815990195201,Macro,Micro,0.7486280138708573,Storage_AWS_S3_Glacier,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,91,742806.6893198865,0.1254972068688892,66.11264891992113,8.788429140810662,179.20706536299642,0.0002412080429383962,0.8745027931311108,4145.798737960811,0.4732646961142479,74280.66893198865,371.40334465994323,0.1792070653629964,True,Camera,Traditional,Archive,Fiber,default,80.23434805321425,56.16404363724997,0.7,0.5,0.20003631980390402,1.25,11.202033909018624,0.5,1.5,10.501906789704961,0.68,0.7,-0.4,1.9413719861291425,0.7486280138708573,0.5,6.0,27.0,14.0,25.5,9.0,27.0
12,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.017305518755512,Micro,Micro,0.10984465709801756,Storage_AWS_S3_Glacier,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,91,746419.6468016771,0.027115618898707394,66.55762581342621,8.788429140810662,180.81499829214837,0.0002412080429383962,0.9728843811012926,4145.798737960811,0.4732646961142479,74641.9646801677,373.2098234008385,0.18081499829214837,True,Camera,Traditional,Archive,Fiber,default,289.2909769592251,202.50368387145755,0.7,1.8,0.20034611037511024,1.25,40.38977585162222,0.5,1.5,37.86541486089583,0.68,0.7,0.6,3.5801553429019823,0.10984465709801756,0.5,7.0,17.0,16.0,25.5,11.0,27.0
20,Camera_FLIR_A700,Traditional_Canny_Optimized,10.062194221161889,Macro,Micro,0.10276490595735716,Storage_Hybrid_Tiered,Communication_V2X_RSU,Deployment_Cloud_GPU_A4000,1,91,753544.1049020439,0.0699644800150444,193.4577565900718,4.55696325819812,206.75542980974183,0.00017577885924857807,0.9300355199849556,5688.966262921571,0.6494253724796314,75354.41049020439,376.772052451022,0.20675542980974182,True,Camera,Traditional,Hybrid,V2X,Cloud,64.57496071602795,64.57496071602795,1.0,0.5,0.20124388442323776,0.00125,12879.608603087217,0.5,1.0,8.049755376929511,0.68,0.7,-0.4,2.5872350940426427,0.10276490595735716,0.5,8.0,22.0,22.0,17.5,30.0,17.0
7,Camera_FLIR_A700,Traditional_Canny_Optimized,10.003040891545117,Macro,Micro,0.7427319246518745,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_OrinNano,3,91,774006.2334955842,0.1248515524273579,66.95614680583643,8.202533864756617,208.09170598059077,0.00015294780902026756,0.8751484475726421,6538.177999447426,0.7463673515350944,77400.62334955842,387.0031167477921,0.20809170598059076,True,Camera,Traditional,Hybrid,5G,default,64.19533934793789,44.93673754355652,0.7,0.5,0.20006081783090235,0.125,89.62724638824423,0.5,1.5,8.402554348897898,0.68,0.7,-0.4,1.9472680753481253,0.7427319246518745,0.5,9.0,26.0,24.0,12.0,15.0,24.5
19,Camera_FLIR_A700,Hybrid_CNN_SVM,10.016031506320635,Micro,Micro,0.10251508453115968,Storage_AWS_S3_Glacier,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,1,91,797077.5559790643,0.012900752889937306,67.581861887964,4.55696325819812,206.67417977987108,0.00030184692358077575,0.9870992471100627,3312.937525210175,0.37818921520664095,79707.75559790643,398.53877798953215,0.20667417977987107,True,Camera,ML,Archive,Fiber,default,231.40334768009345,161.98234337606542,0.7,1.8,0.2003206301264127,1.25,32.307711226787845,3.0,1.5,181.7308756506816,0.93,0.7,0.6,3.5374849154688404,0.10251508453115968,0.5,10.0,4.0,21.0,31.0,16.0,17.0
